"","state","newspaper_id","newspaper_name","frequency","city","county","owner_id","owner_name","owner_type","total_circulation","days_published"
"176","AR",19694,"News","W","Fulton","Hempstead",4797,"Rust Communications","Private",4895,1
"177","AR",19672,"Nashville News-Leader","W","Nashville","Howard",2668,"Graves Publishing Company","Private",0,2
"178","AR",19657,"Mountaineer Echo","W","Flippin","Marion",3142,"Jade Media Inc","Private",2360,1
"179","AR",19617,"Modern News","W","Harrisburg","Poinsett",4151,"Nix Charles","Private",1895,1
"180","AR",19236,"Gurdon Times The","W","Arkadelphia","Clark",2464,"New Media/GateHouse","Investment",1200,1
"181","AR",18955,"Courier Index","W","Marianna","Lee",6055,"Argent Arkansas News Media","Private",2513,1
"182","AR",18879,"Citizen","W","Waldron","Scott",3424,"Lancaster Management","Private",1875,1
"183","AR",18549,"Sun-Times The","W","Heber Springs","Cleburne",2464,"New Media/GateHouse","Investment",5827,2
"184","AR",18486,"Stone County Leader","W","Mountain View","Stone",2489,"Fraser, James","Private",42849,1
"185","AR",18250,"Sherwood Voice","W","North Little Rock","Pulaski",2464,"New Media/GateHouse","Investment",1979,1
"186","AR",18248,"Sheridan Headlight","W","Sheridan","Grant",3998,"Morehouse Melody","Private",4050,1
"187","AR",17922,"Press Argus-Courier","W","Van Buren","Crawford",2464,"New Media/GateHouse","Investment",5580,2
"188","AR",17868,"Pocahontas Star Herald","W","Pocahontas","Randolph",6056,"Corning Publishing","Private",4500,1
"189","AR",17796,"Perry County Petit Jean Country Headlight","W","Morrilton","Perry",2881,"Headlight Newspapers Inc.","Private",1900,1
"190","AR",17738,"Paris Express","W","Paris","Logan",2464,"New Media/GateHouse","Investment",3600,1
"191","AR",17436,"Nevada County Picayune","W","Hope","Nevada",2464,"New Media/GateHouse","Investment",2200,1
"192","AR",17402,"Murfreesboro Diamond","W","Murfreesboro","Pike",2668,"Graves Publishing Company","Private",1700,1
"193","AR",17324,"Montgomery County News","W","Mount Ida","Montgomery",2668,"Graves Publishing Company","Private",1895,1
"194","AR",17204,"Mena Star","W","Mena","Polk",3424,"Lancaster Management","Private",30700,1
"195","AR",17178,"McGehee Dermott Times/News","W","McGehee","Desha",6057,"McGehee Publishing Company, Inc.","Private",3400,1
"196","AR",17153,"Marshall Mountain Wave","W","Marshall","Searcy",3142,"Jade Media Inc","Private",3200,1
"197","AR",17032,"Little River News","W","Ashdown","Little River",4617,"Red River Media","Private",3000,1
"198","AR",17014,"Lincoln Ledger","W","Star City","Lincoln",3734,"Mason Joe","Private",3500,1
